Name	Timestep	Value
Nature days	379	1
Nature location	379	Region13
Nature phase	379	approaching
Nature action	380	Nature-evolve
Nature category	380	2
Nature days	380	2
Nature location	380	Region13
Nature phase	380	approaching
Nature action	381	Nature-evolve
Nature category	381	2
Nature days	381	0
Nature location	381	Region13
Nature phase	381	active
Nature action	382	Nature-evolve
Nature category	382	2
Nature days	382	1
Nature location	382	Region14
Nature phase	382	active
Nature action	383	Nature-evolve
Nature category	383	2
Nature days	383	2
Nature location	383	Region14
Nature phase	383	active
Nature action	384	Nature-evolve
Nature category	384	2
Nature days	384	3
Nature location	384	Region15
Nature phase	384	active
Nature action	385	Nature-evolve
Nature category	385	2
Nature days	385	4
Nature location	385	Region15
Nature phase	385	active
Nature action	386	Nature-evolve
Nature category	386	2
Nature days	386	5
Nature location	386	Region15
Nature phase	386	active
Nature action	387	Nature-evolve
Nature category	387	2
Nature days	387	6
Nature location	387	Region16
Nature phase	387	active
Nature action	388	Nature-evolve
Nature category	388	2
Nature days	388	7
Nature location	388	Region12
Nature phase	388	active
Nature action	389	Nature-evolve
Nature category	389	2
Nature days	389	8
Nature location	389	none
Nature phase	389	active
Nature action	390	Nature-evolve
Nature category	390	0
Nature days	390	0
Nature location	390	none
Nature phase	390	none
Nature action	391	Nature-evolve
Nature category	391	0
Nature days	391	1
Nature location	391	none
Nature phase	391	none
Nature action	392	Nature-evolve
Nature category	392	0
Nature days	392	2
Nature location	392	none
Nature phase	392	none
Nature action	393	Nature-evolve
Nature category	393	3
Nature days	393	0
Nature location	393	Region13
Nature phase	393	approaching
Nature action	394	Nature-evolve
Nature category	394	4
Nature days	394	1
Nature location	394	Region13
Nature phase	394	approaching
Nature action	395	Nature-evolve
Nature category	395	4
Nature days	395	2
Nature location	395	Region13
Nature phase	395	approaching
Nature action	396	Nature-evolve
Nature category	396	4
Nature days	396	0
Nature location	396	Region13
Nature phase	396	active
Nature action	397	Nature-evolve
Nature category	397	4
Nature days	397	1
Nature location	397	Region09
Nature phase	397	active
Nature action	398	Nature-evolve
Nature category	398	4
Nature days	398	2
Nature location	398	Region05
Nature phase	398	active
Nature action	399	Nature-evolve
Nature category	399	4
Nature days	399	3
Nature location	399	Region06
Nature phase	399	active
Nature action	400	Nature-evolve
Nature category	400	4
Nature days	400	4
Nature location	400	Region02
Nature phase	400	active
Nature action	401	Nature-evolve
Nature category	401	4
Nature days	401	5
Nature location	401	none
Nature phase	401	active
Nature action	402	Nature-evolve
Nature category	402	0
Nature days	402	0
Nature location	402	none
Nature phase	402	none
Nature action	403	Nature-evolve
Nature category	403	0
Nature days	403	1
Nature location	403	none
Nature phase	403	none
Nature action	404	Nature-evolve
Nature category	404	0
Nature days	404	2
Nature location	404	none
Nature phase	404	none
Nature action	405	Nature-evolve
Nature category	405	5
Nature days	405	0
Nature location	405	Region09
Nature phase	405	approaching
Nature action	406	Nature-evolve
Nature category	406	4
Nature days	406	1
Nature location	406	Region09
Nature phase	406	approaching
Nature action	407	Nature-evolve
Nature category	407	5
Nature days	407	2
Nature location	407	Region09
Nature phase	407	approaching
Nature action	408	Nature-evolve
Nature category	408	5
Nature days	408	0
Nature location	408	Region09
Nature phase	408	active
Nature action	409	Nature-evolve
Nature category	409	5
Nature days	409	1
Nature location	409	Region10
Nature phase	409	active
Nature action	410	Nature-evolve
Nature category	410	5
Nature days	410	2
Nature location	410	Region11
Nature phase	410	active
Nature action	411	Nature-evolve
Nature category	411	5
Nature days	411	3
Nature location	411	Region12
Nature phase	411	active
Nature action	412	Nature-evolve
